order,structure ID,full structure name,abbreviation,parent_id,depth in tree,structure_id_path,total_voxel_counts (10 um),Structure independently delineated (not merged to form parents),Major Division,summary_structure,meso_area
233,588,"Anterior cingulate area, ventral part, layer 1",ACAv1,48,8,/997/8/567/688/695/315/31/48/588/,478240,Y,,,Cortex
234,296,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,48,8,/997/8/567/688/695/315/31/48/296/,502274,Y,,,Cortex
235,772,"Anterior cingulate area, ventral part, layer 5",ACAv5,48,8,/997/8/567/688/695/315/31/48/772/,1002560,Y,,,Cortex
236,810,"Anterior cingulate area, ventral part, 6a",ACAv6a,48,8,/997/8/567/688/695/315/31/48/810/,363392,Y,,,Cortex
237,819,"Anterior cingulate area, ventral part, 6b",ACAv6b,48,8,/997/8/567/688/695/315/31/48/819/,62062,Y,,,Cortex
238,972,Prelimbic area,PL,315,6,/997/8/567/688/695/315/972/,2410398,,,Y,Cortex
239,171,"Prelimbic area, layer 1",PL1,972,7,/997/8/567/688/695/315/972/171/,523834,Y,,,Cortex
241,304,"Prelimbic area, layer 2/3",PL2/3,972,7,/997/8/567/688/695/315/972/304/,420622,Y,,,Cortex
242,363,"Prelimbic area, layer 5",PL5,972,7,/997/8/567/688/695/315/972/363/,979438,Y,,,Cortex
243,84,"Prelimbic area, layer 6a",PL6a,972,7,/997/8/567/688/695/315/972/84/,465136,Y,,,Cortex
244,132,"Prelimbic area, layer 6b",PL6b,972,7,/997/8/567/688/695/315/972/132/,21368,Y,,,Cortex
245,44,Infralimbic area,ILA,315,6,/997/8/567/688/695/315/44/,844322,,,Y,Cortex
246,707,"Infralimbic area, layer 1",ILA1,44,7,/997/8/567/688/695/315/44/707/,151252,Y,,,Cortex
248,556,"Infralimbic area, layer 2/3",ILA2/3,44,7,/997/8/567/688/695/315/44/556/,140956,Y,,,Cortex
249,827,"Infralimbic area, layer 5",ILA5,44,7,/997/8/567/688/695/315/44/827/,336210,Y,,,Cortex
250,1054,"Infralimbic area, layer 6a",ILA6a,44,7,/997/8/567/688/695/315/44/1054/,205076,Y,,,Cortex
251,1081,"Infralimbic area, layer 6b",ILA6b,44,7,/997/8/567/688/695/315/44/1081/,10828,Y,,,Cortex
252,714,Orbital area,ORB,315,6,/997/8/567/688/695/315/714/,5904280,,,,Cortex
258,723,"Orbital area, lateral part",ORBl,714,7,/997/8/567/688/695/315/714/723/,2728124,,,Y,Cortex
259,448,"Orbital area, lateral part, layer 1",ORBl1,723,8,/997/8/567/688/695/315/714/723/448/,375418,Y,,,Cortex
260,412,"Orbital area, lateral part, layer 2/3",ORBl2/3,723,8,/997/8/567/688/695/315/714/723/412/,621188,Y,,,Cortex
261,630,"Orbital area, lateral part, layer 5",ORBl5,723,8,/997/8/567/688/695/315/714/723/630/,1206904,Y,,,Cortex
262,440,"Orbital area, lateral part, layer 6a",ORBl6a,723,8,/997/8/567/688/695/315/714/723/440/,480880,Y,,,Cortex
263,488,"Orbital area, lateral part, layer 6b",ORBl6b,723,8,/997/8/567/688/695/315/714/723/488/,43734,Y,,,Cortex
264,731,"Orbital area, medial part",ORBm,714,7,/997/8/567/688/695/315/714/731/,1399370,,,Y,Cortex
265,484,"Orbital area, medial part, layer 1",ORBm1,731,8,/997/8/567/688/695/315/714/731/484/,420842,Y,,,Cortex
267,582,"Orbital area, medial part, layer 2/3",ORBm2/3,731,8,/997/8/567/688/695/315/714/731/582/,316968,Y,,,Cortex
268,620,"Orbital area, medial part, layer 5",ORBm5,731,8,/997/8/567/688/695/315/714/731/620/,471140,Y,,,Cortex
269,910,"Orbital area, medial part, layer 6a",ORBm6a,731,8,/997/8/567/688/695/315/714/731/910/,186712,Y,,,Cortex
270,527696977,"Orbital area, medial part, layer 6b",ORBm6b,731,8,/997/8/567/688/695/315/714/731/527696977/,3708,Y,,,Cortex
272,746,"Orbital area, ventrolateral part",ORBvl,714,7,/997/8/567/688/695/315/714/746/,1776786,,,Y,Cortex
273,969,"Orbital area, ventrolateral part, layer 1",ORBvl1,746,8,/997/8/567/688/695/315/714/746/969/,385114,Y,,,Cortex
274,288,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,746,8,/997/8/567/688/695/315/714/746/288/,523316,Y,,,Cortex
275,1125,"Orbital area, ventrolateral part, layer 5",ORBvl5,746,8,/997/8/567/688/695/315/714/746/1125/,619944,Y,,,Cortex
276,608,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,746,8,/997/8/567/688/695/315/714/746/608/,238782,Y,,,Cortex
277,680,"Orbital area, ventrolateral part, layer 6b",ORBvl6b,746,8,/997/8/567/688/695/315/714/746/680/,9630,Y,,,Cortex
278,95,Agranular insular area,AI,315,6,/997/8/567/688/695/315/95/,7894106,,,,Cortex
279,104,"Agranular insular area, dorsal part",AId,95,7,/997/8/567/688/695/315/95/104/,3724650,,,Y,Cortex
280,996,"Agranular insular area, dorsal part, layer 1",AId1,104,8,/997/8/567/688/695/315/95/104/996/,459546,Y,,,Cortex
281,328,"Agranular insular area, dorsal part, layer 2/3",AId2/3,104,8,/997/8/567/688/695/315/95/104/328/,925512,Y,,,Cortex
282,1101,"Agranular insular area, dorsal part, layer 5",AId5,104,8,/997/8/567/688/695/315/95/104/1101/,1509586,Y,,,Cortex
283,783,"Agranular insular area, dorsal part, layer 6a",AId6a,104,8,/997/8/567/688/695/315/95/104/783/,781724,Y,,,Cortex
284,831,"Agranular insular area, dorsal part, layer 6b",AId6b,104,8,/997/8/567/688/695/315/95/104/831/,48282,Y,,,Cortex
285,111,"Agranular insular area, posterior part",AIp,95,7,/997/8/567/688/695/315/95/111/,2434626,,,Y,Cortex
286,120,"Agranular insular area, posterior part, layer 1",AIp1,111,8,/997/8/567/688/695/315/95/111/120/,422038,Y,,,Cortex
287,163,"Agranular insular area, posterior part, layer 2/3",AIp2/3,111,8,/997/8/567/688/695/315/95/111/163/,803644,Y,,,Cortex
288,344,"Agranular insular area, posterior part, layer 5",AIp5,111,8,/997/8/567/688/695/315/95/111/344/,752576,Y,,,Cortex
289,314,"Agranular insular area, posterior part, layer 6a",AIp6a,111,8,/997/8/567/688/695/315/95/111/314/,435738,Y,,,Cortex
290,355,"Agranular insular area, posterior part, layer 6b",AIp6b,111,8,/997/8/567/688/695/315/95/111/355/,20630,Y,,,Cortex
291,119,"Agranular insular area, ventral part",AIv,95,7,/997/8/567/688/695/315/95/119/,1734830,,,Y,Cortex
292,704,"Agranular insular area, ventral part, layer 1",AIv1,119,8,/997/8/567/688/695/315/95/119/704/,248482,Y,,,Cortex
293,694,"Agranular insular area, ventral part, layer 2/3",AIv2/3,119,8,/997/8/567/688/695/315/95/119/694/,594928,Y,,,Cortex
294,800,"Agranular insular area, ventral part, layer 5",AIv5,119,8,/997/8/567/688/695/315/95/119/800/,720432,Y,,,Cortex
295,675,"Agranular insular area, ventral part, layer 6a",AIv6a,119,8,/997/8/567/688/695/315/95/119/675/,167928,Y,,,Cortex
296,699,"Agranular insular area, ventral part, layer 6b",AIv6b,119,8,/997/8/567/688/695/315/95/119/699/,3060,Y,,,Cortex
297,254,Retrosplenial area,RSP,315,6,/997/8/567/688/695/315/254/,10503636,,,,Cortex
298,894,"Retrosplenial area, lateral agranular part",RSPagl,254,7,/997/8/567/688/695/315/254/894/,2357084,,,Y,Cortex
299,671,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,894,8,/997/8/567/688/695/315/254/894/671/,507296,Y,,,Cortex
300,965,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,894,8,/997/8/567/688/695/315/254/894/965/,669946,Y,,,Cortex
301,774,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,894,8,/997/8/567/688/695/315/254/894/774/,733242,Y,,,Cortex
302,906,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,894,8,/997/8/567/688/695/315/254/894/906/,412238,Y,,,Cortex
303,279,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,894,8,/997/8/567/688/695/315/254/894/279/,34362,Y,,,Cortex
325,879,"Retrosplenial area, dorsal part",RSPd,254,7,/997/8/567/688/695/315/254/879/,3799386,,,Y,Cortex
326,442,"Retrosplenial area, dorsal part, layer 1",RSPd1,879,8,/997/8/567/688/695/315/254/879/442/,833240,Y,,,Cortex
327,434,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,879,8,/997/8/567/688/695/315/254/879/434/,972450,Y,,,Cortex
329,610,"Retrosplenial area, dorsal part, layer 5",RSPd5,879,8,/997/8/567/688/695/315/254/879/610/,1205990,Y,,,Cortex
330,274,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,879,8,/997/8/567/688/695/315/254/879/274/,756694,Y,,,Cortex
331,330,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,879,8,/997/8/567/688/695/315/254/879/330/,31010,Y,,,Cortex
332,886,"Retrosplenial area, ventral part",RSPv,254,7,/997/8/567/688/695/315/254/886/,4347166,,,Y,Cortex
333,542,"Retrosplenial area, ventral part, layer 1",RSPv1,886,8,/997/8/567/688/695/315/254/886/542/,947416,Y,,,Cortex
335,430,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,886,8,/997/8/567/688/695/315/254/886/430/,1012970,Y,,,Cortex
336,687,"Retrosplenial area, ventral part, layer 5",RSPv5,886,8,/997/8/567/688/695/315/254/886/687/,1678750,Y,,,Cortex
337,590,"Retrosplenial area, ventral part, layer 6a",RSPv6a,886,8,/997/8/567/688/695/315/254/886/590/,659730,Y,,,Cortex
338,622,"Retrosplenial area, ventral part, layer 6b",RSPv6b,886,8,/997/8/567/688/695/315/254/886/622/,48300,Y,,,Cortex
339,22,Posterior parietal association areas,PTLp,315,6,/997/8/567/688/695/315/22/,2456828,,,,Cortex
346,312782546,Anterior area,VISa,22,7,/997/8/567/688/695/315/22/312782546/,1439164,,,Y,Cortex
347,312782550,"Anterior area, layer 1",VISa1,312782546,8,/997/8/567/688/695/315/22/312782546/312782550/,239674,Y,,,Cortex
348,312782554,"Anterior area, layer 2/3",VISa2/3,312782546,8,/997/8/567/688/695/315/22/312782546/312782554/,426718,Y,,,Cortex
349,312782558,"Anterior area, layer 4",VISa4,312782546,8,/997/8/567/688/695/315/22/312782546/312782558/,154800,Y,,,Cortex
350,312782562,"Anterior area, layer 5",VISa5,312782546,8,/997/8/567/688/695/315/22/312782546/312782562/,355238,Y,,,Cortex
351,312782566,"Anterior area, layer 6a",VISa6a,312782546,8,/997/8/567/688/695/315/22/312782546/312782566/,223374,Y,,,Cortex
352,312782570,"Anterior area, layer 6b",VISa6b,312782546,8,/997/8/567/688/695/315/22/312782546/312782570/,39360,Y,,,Cortex
353,417,Rostrolateral visual area,VISrl,22,7,/997/8/567/688/695/315/22/417/,1017664,,,Y,Cortex
354,312782604,"Rostrolateral area, layer 1",VISrl1,417,8,/997/8/567/688/695/315/22/417/312782604/,170740,Y,,,Cortex
355,312782608,"Rostrolateral area, layer 2/3",VISrl2/3,417,8,/997/8/567/688/695/315/22/417/312782608/,276390,Y,,,Cortex
356,312782612,"Rostrolateral area, layer 4",VISrl4,417,8,/997/8/567/688/695/315/22/417/312782612/,146294,Y,,,Cortex
357,312782616,"Rostrolateral area, layer 5",VISrl5,417,8,/997/8/567/688/695/315/22/417/312782616/,244294,Y,,,Cortex
358,312782620,"Rostrolateral area, layer 6a",VISrl6a,417,8,/997/8/567/688/695/315/22/417/312782620/,151428,Y,,,Cortex
359,312782624,"Rostrolateral area, layer 6b",VISrl6b,417,8,/997/8/567/688/695/315/22/417/312782624/,28518,Y,,,Cortex
360,541,Temporal association areas,TEa,315,6,/997/8/567/688/695/315/541/,3102282,,,Y,Cortex
361,97,"Temporal association areas, layer 1",TEa1,541,7,/997/8/567/688/695/315/541/97/,525406,Y,,,Cortex
362,1127,"Temporal association areas, layer 2/3",TEa2/3,541,7,/997/8/567/688/695/315/541/1127/,701596,Y,,,Cortex
363,234,"Temporal association areas, layer 4",TEa4,541,7,/997/8/567/688/695/315/541/234/,312818,Y,,,Cortex
364,289,"Temporal association areas, layer 5",TEa5,541,7,/997/8/567/688/695/315/541/289/,949232,Y,,,Cortex
365,729,"Temporal association areas, layer 6a",TEa6a,541,7,/997/8/567/688/695/315/541/729/,523472,Y,,,Cortex
366,786,"Temporal association areas, layer 6b",TEa6b,541,7,/997/8/567/688/695/315/541/786/,89758,Y,,,Cortex
367,922,Perirhinal area,PERI,315,6,/997/8/567/688/695/315/922/,789792,,,Y,Cortex
368,335,"Perirhinal area, layer 6a",PERI6a,922,7,/997/8/567/688/695/315/922/335/,53894,Y,,,Cortex
369,368,"Perirhinal area, layer 6b",PERI6b,922,7,/997/8/567/688/695/315/922/368/,13148,Y,,,Cortex
370,540,"Perirhinal area, layer 1",PERI1,922,7,/997/8/567/688/695/315/922/540/,221266,Y,,,Cortex
371,692,"Perirhinal area, layer 5",PERI5,922,7,/997/8/567/688/695/315/922/692/,168374,Y,,,Cortex
372,888,"Perirhinal area, layer 2/3",PERI2/3,922,7,/997/8/567/688/695/315/922/888/,333110,Y,,,Cortex
373,895,Ectorhinal area,ECT,315,6,/997/8/567/688/695/315/895/,1712238,,,Y,Cortex
374,836,Ectorhinal area/Layer 1,ECT1,895,7,/997/8/567/688/695/315/895/836/,258520,Y,,,Cortex
375,427,Ectorhinal area/Layer 2/3,ECT2/3,895,7,/997/8/567/688/695/315/895/427/,476150,Y,,,Cortex
376,988,Ectorhinal area/Layer 5,ECT5,895,7,/997/8/567/688/695/315/895/988/,529802,Y,,,Cortex
377,977,Ectorhinal area/Layer 6a,ECT6a,895,7,/997/8/567/688/695/315/895/977/,388414,Y,,,Cortex
378,1045,Ectorhinal area/Layer 6b,ECT6b,895,7,/997/8/567/688/695/315/895/1045/,59352,Y,,,Cortex
379,698,Olfactory areas,OLF,695,5,/997/8/567/688/695/698/,46701932,,Y,,Olfactory
380,507,Main olfactory bulb,MOB,698,6,/997/8/567/688/695/698/507/,16464300,Y,,Y,Olfactory
386,151,Accessory olfactory bulb,AOB,698,6,/997/8/567/688/695/698/151/,652032,,,Y,Olfactory
387,188,"Accessory olfactory bulb, glomerular layer",AOBgl,151,7,/997/8/567/688/695/698/151/188/,154454,Y,,,Olfactory
388,196,"Accessory olfactory bulb, granular layer",AOBgr,151,7,/997/8/567/688/695/698/151/196/,220288,Y,,,Olfactory
389,204,"Accessory olfactory bulb, mitral layer",AOBmi,151,7,/997/8/567/688/695/698/151/204/,277290,Y,,,Olfactory
390,159,Anterior olfactory nucleus,AON,698,6,/997/8/567/688/695/698/159/,4870684,Y,,Y,Olfactory
398,589,Taenia tecta,TT,698,6,/997/8/567/688/695/698/589/,1440998,,,Y,Olfactory
399,597,"Taenia tecta, dorsal part",TTd,589,7,/997/8/567/688/695/698/589/597/,723370,Y,,,Olfactory
405,605,"Taenia tecta, ventral part",TTv,589,7,/997/8/567/688/695/698/589/605/,717628,Y,,,Olfactory
410,814,Dorsal peduncular area,DP,698,6,/997/8/567/688/695/698/814/,504720,Y,,Y,Olfactory
416,961,Piriform area,PIR,698,6,/997/8/567/688/695/698/961/,11566814,Y,,Y,Olfactory
421,619,Nucleus of the lateral olfactory tract,NLOT,698,6,/997/8/567/688/695/698/619/,319480,,,Y,Olfactory
423,260,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,619,7,/997/8/567/688/695/698/619/260/,111502,Y,,,Olfactory
424,268,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,619,7,/997/8/567/688/695/698/619/268/,149582,Y,,,Olfactory
425,1139,"Nucleus of the lateral olfactory tract, layer 3",NLOT3,619,7,/997/8/567/688/695/698/619/1139/,58396,Y,,,Olfactory
426,631,Cortical amygdalar area,COA,698,6,/997/8/567/688/695/698/631/,3265152,,,,Olfactory
427,639,"Cortical amygdalar area, anterior part",COAa,631,7,/997/8/567/688/695/698/631/639/,767476,Y,,Y,Olfactory
431,647,"Cortical amygdalar area, posterior part",COAp,631,7,/997/8/567/688/695/698/631/647/,2497676,,,Y,Olfactory
432,655,"Cortical amygdalar area, posterior part, lateral zone",COApl,647,8,/997/8/567/688/695/698/631/647/655/,1202336,Y,,,Olfactory
438,663,"Cortical amygdalar area, posterior part, medial zone",COApm,647,8,/997/8/567/688/695/698/631/647/663/,1295340,Y,,,Olfactory
444,788,Piriform-amygdalar area,PAA,698,6,/997/8/567/688/695/698/788/,1191612,Y,,Y,Olfactory
449,566,Postpiriform transition area,TR,698,6,/997/8/567/688/695/698/566/,1404722,Y,,Y,Olfactory
454,1089,Hippocampal formation,HPF,695,5,/997/8/567/688/695/1089/,42641090,,Y,,Hippocampus
455,1080,Hippocampal region,HIP,1089,6,/997/8/567/688/695/1089/1080/,23715574,,,,Hippocampus
456,375,Ammon's horn,CA,1080,7,/997/8/567/688/695/1089/1080/375/,16931028,,,,Hippocampus
457,382,Field CA1,CA1,375,8,/997/8/567/688/695/1089/1080/375/382/,10191672,Y,,Y,Hippocampus
462,423,Field CA2,CA2,375,8,/997/8/567/688/695/1089/1080/375/423/,475930,Y,,Y,Hippocampus
467,463,Field CA3,CA3,375,8,/997/8/567/688/695/1089/1080/375/463/,6263426,Y,,Y,Hippocampus
473,726,Dentate gyrus,DG,1080,7,/997/8/567/688/695/1089/1080/726/,6597176,,,Y,Hippocampus
474,10703,"Dentate gyrus, molecular layer",DG-mo,726,8,/997/8/567/688/695/1089/1080/726/10703/,4306642,Y,,,Hippocampus
475,10704,"Dentate gyrus, polymorph layer",DG-po,726,8,/997/8/567/688/695/1089/1080/726/10704/,685994,Y,,,Hippocampus
476,632,"Dentate gyrus, granule cell layer",DG-sg,726,8,/997/8/567/688/695/1089/1080/726/632/,1604540,Y,,,Hippocampus
490,982,Fasciola cinerea,FC,1080,7,/997/8/567/688/695/1089/1080/982/,61680,Y,,Y,Hippocampus
491,19,Induseum griseum,IG,1080,7,/997/8/567/688/695/1089/1080/19/,125690,Y,,Y,Hippocampus
492,822,Retrohippocampal region,RHP,1089,6,/997/8/567/688/695/1089/822/,18504594,,,,Hippocampus
493,909,Entorhinal area,ENT,822,7,/997/8/567/688/695/1089/822/909/,11396888,,,,Hippocampus
494,918,"Entorhinal area, lateral part",ENTl,909,8,/997/8/567/688/695/1089/822/909/918/,6378088,,,Y,Hippocampus
495,1121,"Entorhinal area, lateral part, layer 1",ENTl1,918,9,/997/8/567/688/695/1089/822/909/918/1121/,979142,Y,,,Hippocampus
496,20,"Entorhinal area, lateral part, layer 2",ENTl2,918,9,/997/8/567/688/695/1089/822/909/918/20/,1604416,Y,,,Hippocampus
500,52,"Entorhinal area, lateral part, layer 3",ENTl3,918,9,/997/8/567/688/695/1089/822/909/918/52/,1317080,Y,,,Hippocampus
503,139,"Entorhinal area, lateral part, layer 5",ENTl5,918,9,/997/8/567/688/695/1089/822/909/918/139/,1428774,Y,,,Hippocampus
505,28,"Entorhinal area, lateral part, layer 6a",ENTl6a,918,9,/997/8/567/688/695/1089/822/909/918/28/,1048676,Y,,,Hippocampus
507,926,"Entorhinal area, medial part, dorsal zone",ENTm,909,8,/997/8/567/688/695/1089/822/909/926/,5018800,,,Y,Hippocampus
508,526,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1,926,9,/997/8/567/688/695/1089/822/909/926/526/,1246100,Y,,,Hippocampus
509,543,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2,926,9,/997/8/567/688/695/1089/822/909/926/543/,1255434,Y,,,Hippocampus
512,664,"Entorhinal area, medial part, dorsal zone, layer 3",ENTm3,926,9,/997/8/567/688/695/1089/822/909/926/664/,983148,Y,,,Hippocampus
514,727,"Entorhinal area, medial part, dorsal zone, layer 5",ENTm5,926,9,/997/8/567/688/695/1089/822/909/926/727/,911528,Y,,,Hippocampus
516,743,"Entorhinal area, medial part, dorsal zone, layer 6",ENTm6,926,9,/997/8/567/688/695/1089/822/909/926/743/,622590,Y,,,Hippocampus
523,843,Parasubiculum,PAR,822,7,/997/8/567/688/695/1089/822/843/,932876,Y,,Y,Hippocampus
527,1037,Postsubiculum,POST,822,7,/997/8/567/688/695/1089/822/1037/,1084318,Y,,Y,Hippocampus
531,1084,Presubiculum,PRE,822,7,/997/8/567/688/695/1089/822/1084/,916690,Y,,Y,Hippocampus
535,502,Subiculum,SUB,822,7,/997/8/567/688/695/1089/822/502/,2097794,Y,,Y,Hippocampus
544,484682470,Prosubiculum,ProS,822,7,/997/8/567/688/695/1089/822/484682470/,1328060,Y,,Y,Hippocampus
553,589508447,Hippocampo-amygdalar transition area,HATA,822,7,/997/8/567/688/695/1089/822/589508447/,421334,Y,,Y,Hippocampus
554,484682508,Area prostriata,APr,822,7,/997/8/567/688/695/1089/822/484682508/,326634,Y,,Y,Hippocampus
555,703,Cortical subplate,CTXsp,688,4,/997/8/567/688/703/,8907902,,Y,,Hippocampus
557,583,Claustrum,CLA,703,5,/997/8/567/688/703/583/,550738,Y,,Y,Hippocampus
558,942,Endopiriform nucleus,EP,703,5,/997/8/567/688/703/942/,2792504,,,,Cortical subplate
559,952,"Endopiriform nucleus, dorsal part",EPd,942,6,/997/8/567/688/703/942/952/,1819782,Y,,Y,Cortical subplate
560,966,"Endopiriform nucleus, ventral part",EPv,942,6,/997/8/567/688/703/942/966/,972722,Y,,Y,Cortical subplate
561,131,Lateral amygdalar nucleus,LA,703,5,/997/8/567/688/703/131/,840288,Y,,Y,Cortical subplate
562,295,Basolateral amygdalar nucleus,BLA,703,5,/997/8/567/688/703/295/,1900282,,,Y,Cortical subplate
563,303,"Basolateral amygdalar nucleus, anterior part",BLAa,295,6,/997/8/567/688/703/295/303/,769610,Y,,,Cortical subplate
564,311,"Basolateral amygdalar nucleus, posterior part",BLAp,295,6,/997/8/567/688/703/295/311/,711236,Y,,,Cortical subplate
565,451,"Basolateral amygdalar nucleus, ventral part",BLAv,295,6,/997/8/567/688/703/295/451/,419436,Y,,,Cortical subplate
566,319,Basomedial amygdalar nucleus,BMA,703,5,/997/8/567/688/703/319/,1485188,,,Y,Cortical subplate
567,327,"Basomedial amygdalar nucleus, anterior part",BMAa,319,6,/997/8/567/688/703/319/327/,767422,Y,,,Cortical subplate
568,334,"Basomedial amygdalar nucleus, posterior part",BMAp,319,6,/997/8/567/688/703/319/334/,717766,Y,,,Cortical subplate
569,780,Posterior amygdalar nucleus,PA,703,5,/997/8/567/688/703/780/,966658,Y,,Y,Cortical subplate
570,623,Cerebral nuclei,CNU,567,3,/997/8/567/623/,54326608,,,,Cortical subplate
571,477,Striatum,STR,623,4,/997/8/567/623/477/,44961798,,Y,,Cortical subplate
572,485,Striatum dorsal region,STRd,477,5,/997/8/567/623/477/485/,26018770,,,,Cortical subplate
573,672,Caudoputamen,CP,485,6,/997/8/567/623/477/485/672/,26018770,Y,,Y,Striatum Pallidum
574,493,Striatum ventral region,STRv,477,5,/997/8/567/623/477/493/,8653520,,,,Striatum Pallidum
575,56,Nucleus accumbens,ACB,493,6,/997/8/567/623/477/493/56/,4401366,Y,,Y,Striatum Pallidum
576,998,Fundus of striatum,FS,493,6,/997/8/567/623/477/493/998/,428468,Y,,Y,Striatum Pallidum
577,754,Olfactory tubercle,OT,493,6,/997/8/567/623/477/493/754/,3823686,Y,,Y,Striatum Pallidum
585,275,Lateral septal complex,LSX,477,5,/997/8/567/623/477/275/,3564062,,,,Striatum Pallidum
586,242,Lateral septal nucleus,LS,275,6,/997/8/567/623/477/275/242/,3052752,,,,Striatum Pallidum
587,250,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,242,7,/997/8/567/623/477/275/242/250/,563602,Y,,Y,Striatum Pallidum
588,258,"Lateral septal nucleus, rostral (rostroventral) part",LSr,242,7,/997/8/567/623/477/275/242/258/,1881914,Y,,Y,Striatum Pallidum
589,266,"Lateral septal nucleus, ventral part",LSv,242,7,/997/8/567/623/477/275/242/266/,607236,Y,,Y,Striatum Pallidum
590,310,Septofimbrial nucleus,SF,275,6,/997/8/567/623/477/275/310/,474314,Y,,Y,Striatum Pallidum
591,333,Septohippocampal nucleus,SH,275,6,/997/8/567/623/477/275/333/,36996,Y,,Y,Striatum Pallidum
592,278,Striatum-like amygdalar nuclei,sAMY,477,5,/997/8/567/623/477/278/,4047624,,,,Striatum Pallidum
593,23,Anterior amygdalar area,AAA,278,6,/997/8/567/623/477/278/23/,494370,Y,,Y,Striatum Pallidum
594,292,Bed nucleus of the accessory olfactory tract,BA,278,6,/997/8/567/623/477/278/292/,24958,Y,,Y,Striatum Pallidum
595,536,Central amygdalar nucleus,CEA,278,6,/997/8/567/623/477/278/536/,1317000,,,Y,Striatum Pallidum
596,544,"Central amygdalar nucleus, capsular part",CEAc,536,7,/997/8/567/623/477/278/536/544/,309320,Y,,,Striatum Pallidum
597,551,"Central amygdalar nucleus, lateral part",CEAl,536,7,/997/8/567/623/477/278/536/551/,259674,Y,,,Striatum Pallidum
